OBJECTID,ROAD_NUMBER,ROAD_NAME,DIRECTION,ELEMENTS,SURFACE_TYPE,NUMBER_OF_TRAFFIC_LANES,LEFT_SHOULDER_WIDTH,TRAFFIC_WIDTH,RIGHT_SHOULDER_WIDTH,SEAL_WIDTH
14264,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,3.5,7,3,13.5
2243,2000,MONASH FWY,F, L1+SL+SR+L2+L3+L4,A,4,2.6,14.5,2.3,19.4
12570,2530,CALDER HWY,R, L1+SL+SR+L2,S,2,2.9,7.2,1.2,11.3
6011,2500,PRINCES HWY,F, L1+L2+L3+LT1+LT2R+RT1R,S,3,0,11.2,0,11.2
9269,2510,PRINCES HWY,F, L1+L2+L3+RT1,A,3,0,11.1,0,11.1
237,2090,DANDENONG VALLEY HWY,F, L1+L2+LT1,S,2,0,7.4,0,7.4
14265,2520,WESTERN HWY,F, L1+SL+SR+L2,S,2,3.5,7,2,12.5
2244,2300,MELBA HWY,F, L1+SL+L2+L3+LT1R,S,3,1,11,0,12
238,2000,MONASH FWY,R, L1+SL+SR+L2+L3+L4+L5+RT1+ROF1+ROFSHL+ROFSHR,A,5,2.6,17.5,1,21.1
12571,2520,WESTERN HWY,F, L1+SL+SR+L2,A,2,1.8,7.6,3,12.4
14266,2520,WESTERN HWY,F, L1+SR+L2+RT1+LT1,A,2,0,15,4.1,19.1
2245,2000,MONASH FWY,F, L1+SL+SR+L2+L3+L4+L5,A,5,1,18,1,20
9270,2500,PRINCES HWY,F, L1+SR+L2+LT1,S,2,0,6.8,3.8,10.6
239,2090,DANDENONG VALLEY HWY,F, L1+L2+LT1,S,2,0,7.4,0,7.4
12572,2520,WESTERN HWY,F, L1+SR+L2+L3+L4+RT1,A,4,0,15.2,2,17.2
6012,2510,PRINCES HWY,R, L1+L2+RT1,S,2,0,8.7,0,8.7
14267,2530,CALDER HWY,F, L1+L2+RT1+LT1,A,2,0,7.2,0,7.2
240,2110,WIMMERA HWY,F, L1+L2,S,2,0,7.2,0,7.2
9271,2500,PRINCES HWY,R, L1+L2+LT1+LBL,A,2,0,7.2,0,7.2
2246,2290,WELLINGTON ROAD HWY,F, L1+L2+L3+RT1+RT2+LT1,A,3,0,11,0,11
12573,2530,CALDER HWY,F, L1+SL+SR+L2+RON1+ROF1+RON2+ROFSHL+ROFSHR,S,2,3,7.6,1.2,11.7
6013,2510,PRINCES HWY,F, L1+SL+SR+L2,S,2,1.5,7.2,1.2,9.9
14268,2520,WESTERN HWY,F, L1+SR+L2+LT1,S,2,0,7.4,1.8,9.2
241,2230,WESTERN PORT HWY,F, L1+SL+SR+L2+L3+L4,A,4,1.6,15,1.6,18.2
9272,2510,PRINCES HWY,R, L1+SL+L2+RT1,S,2,2.8,7.4,0,10.2
6014,2510,PRINCES HWY,F, L1+L2+L3,A,3,0,10.8,0,10.8
2247,2180,STRZELECKI HWY,F, L1+L2,A,2,0,12,0,12
14269,2520,WESTERN HWY,F, L1+SL+SR+L2+LT1+RT1R,S,2,1.8,7.6,1.4,10.7
12574,2530,CALDER HWY,F, L1+SL+SR+L2+RT1R,S,2,2.5,7.2,1.5,11.2
242,2170,HYLAND HWY,F, L1+L2+L3,A,3,0,14,0,14
9273,2510,PRINCES HWY,R, L1+L2+L3+LBL,A,3,0,9.6,0,9.6
6015,2510,PRINCES HWY,F, L1+L2+L3+RT1,S,3,0,10.8,0,10.8
2248,2010,HOPKINS HWY,F, L1+L2,A,2,0,7.4,0,7.4
12575,2530,CALDER HWY,F, L1+SL+SR+L2,S,2,3.2,7.2,1.5,11.9
14270,2530,CALDER HWY,F, L1+SR+L2,S,2,0,7.2,2,9.2
9274,2510,PRINCES HWY,F, L1+SL+SR+L2+RT1R,S,2,1.5,7,1.8,10.3
243,2400,STATE (BELL/SPRINGVALE) HWY,F, L1+L2+L3+RT1,U,3,0,10.2,0,10.2
6016,2500,PRINCES HWY,F, L1+SL+SR+L2,S,2,2.5,7,2.5,12
12576,2520,WESTERN HWY,F, L1+SL+SR+L2,A,2,2.6,7.4,1,11
2249,2070,WARRIGAL HWY,R, L1+L2+L3+RT1,A,3,0,11.1,0,11.1
14271,2540,NORTHERN HWY,F, L1+L2+RT1+LBL+LPL,A,2,0,6.4,0,6.4
244,2030,MIDLAND LINK HWY,F, L1+L2,S,2,0,7,0,7
9275,2500,PRINCES HWY,F, L1+SL+SR+L2+L3,A,3,1.5,10.5,1.5,13.5
6017,2510,PRINCES HWY,R, L1+SL+SR+L2,S,2,3,7.4,1.2,11.6
12577,2520,WESTERN HWY,F, L1+SL+L2+LT1R+RT1R,S,2,2.6,7.4,0,10
2250,2060,NORTH ROAD HWY,F, L1+L2+L3+L4,U,4,0,14,0,14
14272,2540,NORTHERN HWY,F, L1+SL+SR+L2,S,2,1.6,7.2,1.6,10.4
